brandName,name,price,item_url,category
튠나인,[탈모케어]_와우 리프레쉬드 비건 탈모완화 샴푸 100ml,"15,000",https://www.29cm.co.kr/product/1164628,뷰티
쏘내추럴,쏘 비건 매끈모공 카밍 스킨 파우더,"18,000",https://www.29cm.co.kr/product/1062433,뷰티
쏘내추럴,진정 고정 비건 메이크업 캄 픽서,"22,000",https://www.29cm.co.kr/product/928318,뷰티
토니모리,더 쇼킹 카라,"14,800",https://www.29cm.co.kr/product/777426,뷰티
쏘내추럴,쏘 비건 노니 토너,"24,000",https://www.29cm.co.kr/product/991010,뷰티
세이브,유기농 비건 인증 네츄럴 포밍 여성 청결제,"29,500",https://www.29cm.co.kr/product/789422,뷰티
튠나인,[탈모케어]_와우 리프레쉬드 비건 탈모완화 트리트먼트 250ml,"38,000",https://www.29cm.co.kr/product/1164722,뷰티
튠나인,[탈모케어]_젠틀무드 노워시 비건 탈모완화 트리트먼트 250ml,"38,000",https://www.29cm.co.kr/product/1164739,뷰티
토니모리,원더 비건 라벨 세라마이드 모찌 토너패드,"28,000",https://www.29cm.co.kr/product/1412893,뷰티
에이올,제주 화산송이 천연 두피 비건 샴푸 650ml 2개,"64,000",https://www.29cm.co.kr/product/789812,뷰티
이지앤모어,유기농 비건 생리대 누르 Nur. 울트라씬 중형 (12개입),"7,700",https://www.29cm.co.kr/product/699945,뷰티
야다,비건 스타터 키트,"14,800",https://www.29cm.co.kr/product/1196419,뷰티
메이쿱,[멀티 에센스] 로우 소스 더 비건,"33,000",https://www.29cm.co.kr/product/1327992,뷰티
튠나인,[탈모케어]_젠틀무드 비건 탈모완화 샴푸 500ml,"45,000",https://www.29cm.co.kr/product/1164658,뷰티
톤28,솔루션 세럼 에센스,"35,000",https://www.29cm.co.kr/product/1081752,뷰티
톤28,머리 감을거리 S19 바오밥나무오일(3개입),"33,000",https://www.29cm.co.kr/product/1348699,뷰티
디어달리아,드림 래쉬 컬러,"16,000",https://www.29cm.co.kr/product/751370,뷰티
톤28,얼굴 씻을거리 S4 티트리+로즈분말(지성/모공관리),"11,000",https://www.29cm.co.kr/product/277192,뷰티
일리윤,[비건더마 FULL케어set] 속보습 스킨 2개+세라마이드 더마 페이셜 크림+약산성 클렌징폼+비건 립밤,"72,000",https://www.29cm.co.kr/product/1228691,뷰티
톤28,얼굴 씻을거리 S9 어성초+병풀추출물(민감 문제성 피부),"11,000",https://www.29cm.co.kr/product/277197,뷰티
일리윤,[비건더마 FULL케어set] 세라마이드 더마 페이셜 크림+속보습 스킨+약산성 클렌징폼+비건 립밤,"66,000",https://www.29cm.co.kr/product/1227244,뷰티
미쟝센,[비건더마 FULL케어set] 세라마이드 더마 페이셜 크림+속보습 스킨+약산성 클렌징폼+비건 립밤,"66,000",https://www.29cm.co.kr/product/1230743,뷰티
올가니카,석류 포스트바이오틱스 비건구미 180g (총 3통),"38,700",https://www.29cm.co.kr/product/1388842,뷰티
발리래디언스,오가닉 & 비건 템플 플라워 퍼스너 바디 케어/ 샴푸 / 컨디셔너 1L 대용량 사이즈,"69,000",https://www.29cm.co.kr/product/1144120,뷰티
유얼레디노우,[29CM 단독]_비건 그린 캄 오아시스 토너 200ml,"26,000",https://www.29cm.co.kr/product/912599,뷰티
보쉐,벨벳 럭스 비건 바디 & 핸드 크림 241g 5종 중 택1,"20,000",https://www.29cm.co.kr/product/930753,뷰티
지엔디알,비건 오렌지 멀티솝바,"10,000",https://www.29cm.co.kr/product/1090631,뷰티
그린아뜰리에,"건조한 민감 두피케어 비건 샴푸 (가려움, 냄새 OUT)","26,000",https://www.29cm.co.kr/product/1108163,뷰티
인클리어,[비건] 인클리어 페미닌 폼워시 150ml(개운한 타입) 폼타입 여성청결제,"18,000",https://www.29cm.co.kr/product/1085627,뷰티
튠나인,[탈모케어]_와우 리프레쉬드 비건 탈모완화 헤어토닉 160ml,"30,000",https://www.29cm.co.kr/product/1164663,뷰티
튠나인,[탈모케어]_와우 리프레쉬드 비건 탈모완화 샴푸&트리트먼트 듀오 세트,"83,000",https://www.29cm.co.kr/product/1272647,뷰티
피부피부,[비건인증] 아가야 베이비프렌들리 테라퓨틱 배스솔트 130G,"25,000",https://www.29cm.co.kr/product/1415788,뷰티
발리래디언스,오가닉 & 비건 모닝 만트라 퍼스너 바디 케어/ 샴푸 / 컨디셔너 1L 대용량 사이즈,"69,000",https://www.29cm.co.kr/product/1144106,뷰티
에이올,제주 용암해수 비건 헤어 트리트먼트 650ml 3개,"96,000",https://www.29cm.co.kr/product/789820,뷰티
오와이,쿨팁 아이스 코튼티슈[극강쿨링+퍼퓸+생분해/비건+특허성분] 10팩,"50,000",https://www.29cm.co.kr/product/1128195,뷰티
오와이,쿨팁 아이스 코튼티슈[극강쿨링+퍼퓸+생분해/비건+특허성분] 5팩,"25,000",https://www.29cm.co.kr/product/1128194,뷰티
허블룸,콤부차 플랜트바이옴 비건 세럼,"43,000",https://www.29cm.co.kr/product/857483,뷰티
허블룸,콤부차 플랜트바이옴 비건 토너,"26,000",https://www.29cm.co.kr/product/857435,뷰티
튠나인,[탈모케어]_해브 어 나이스 데이 비건 탈모완화 트리트먼트 250ml,"38,000",https://www.29cm.co.kr/product/1164702,뷰티
인클리어,[비건] 인클리어 티트리 페미닌 미스트 30ml 간편하게 뿌리는 여성청결제,"13,000",https://www.29cm.co.kr/product/1237584,뷰티
아로마티카,[약산성 저자극 클렌저] 비건 알로에 하이펙티브 클렌저 120ml,"16,000",https://www.29cm.co.kr/product/1012774,뷰티
오와이,쿨팁 아이스 코튼티슈[극강쿨링+퍼퓸+생분해/비건+특허성분] 3팩,"15,000",https://www.29cm.co.kr/product/1128180,뷰티
오글로우,비건 약산성 클렌징 패드 꽃잎 효소 세안제 (건성용) x 여행용 5개입,"3,900",https://www.29cm.co.kr/product/1162104,뷰티
